germplasmName,link
Huti-white,<a href='https://musabase.org/stock/65043/view'>Huti-white</a>
ITC1460-Ijihu_nkundu,<a href='https://musabase.org/stock/163414/view'>ITC1460-Ijihu_nkundu</a>
ITC1468-kahuti,<a href='https://musabase.org/stock/64970/view'>ITC1468-kahuti</a>
Entukura,<a href='https://musabase.org/stock/149159/view'>Entukura</a>
29275S-1,<a href='https://musabase.org/stock/65838/view'>29275S-1</a>
29364S-2,<a href='https://musabase.org/stock/65842/view'>29364S-2</a>
Nfuuka,<a href='https://musabase.org/stock/149181/view'>Nfuuka</a>
IITA-Nakyetengu,<a href='https://musabase.org/stock/149167/view'>IITA-Nakyetengu</a>
ITC1354-Enzirabahima,<a href='https://musabase.org/stock/180177/view'>ITC1354-Enzirabahima</a>
Nakasabira,<a href='https://musabase.org/stock/149165/view'>Nakasabira</a>
Kabucuragye,<a href='https://musabase.org/stock/65452/view'>Kabucuragye</a>
ITC1355-Kazirakwe,<a href='https://musabase.org/stock/180178/view'>ITC1355-Kazirakwe</a>
Tereza,<a href='https://musabase.org/stock/149170/view'>Tereza</a>
25974S-17,<a href='https://musabase.org/stock/65664/view'>25974S-17</a>
29275S-4,<a href='https://musabase.org/stock/65839/view'>29275S-4</a>
ITC0609-Pahang,<a href='https://musabase.org/stock/123370/view'>ITC0609-Pahang</a>
SH3142,<a href='https://musabase.org/stock/150796/view'>SH3142</a>
ITC0712-Aacv_Rose,"<a href='https://musabase.org/stock/180213/view,https://musabase.org/stock/161404/view'>ITC0712-Aacv_Rose</a>"
TMB2X9128-3,<a href='https://musabase.org/stock/65933/view'>TMB2X9128-3</a>
ITC0090-Tjau_Lagada,<a href='https://musabase.org/stock/179838/view'>ITC0090-Tjau_Lagada</a>
ITC0281-Akondro_Mainty,<a href='https://musabase.org/stock/163411/view'>ITC0281-Akondro_Mainty</a>
ITC1559-Huti_green_bell,<a href='https://musabase.org/stock/163415/view'>ITC1559-Huti_green_bell</a>
ITC1455-Mchare Mlelembo,<a href='https://musabase.org/stock/65887/view'>ITC1455-Mchare Mlelembo</a>
Mchare Laini,<a href='https://musabase.org/stock/65045/view'>Mchare Laini</a>
ITC0249-Calcutta 4,<a href='https://musabase.org/stock/123380/view'>ITC0249-Calcutta 4</a>
Kisukari Mchare,<a href='https://musabase.org/stock/65048/view'>Kisukari Mchare</a>
02145/1320,<a href='https://musabase.org/stock/65419/view'>02145/1320</a>
