PlantletID,Date_of_Rooting,Number_Rooting,Location
NM201807_477_2,2019-09-10,4.0,Arusha
NM201806_450_1,2020-02-03,7.0,Arusha
NM201809_538_61,2020-05-01,9.0,Arusha
NM201806_456_1,2020-04-01,9.0,Arusha
NM201807_(136670C2/136460)_1,2020-07-13,2.0,Arusha
NM201807_(136670C2/136460)_2,2020-07-13,2.0,Arusha
NM201811_(136627C2/136460)_1,2020-07-13,4.0,Arusha
NM201808_530_4,2020-07-13,4.0,Arusha
NM201811_(136627C2/136460)_1,2020-07-13,6.0,Arusha
NM201808_530_4,2020-07-13,5.0,Arusha
NM201902_(152842C1/161541)_23,2020-07-13,4.0,Arusha
NM201901_(153017C1/161564)_1,2020-08-21,20.0,Arusha
NM201902_(152457C1/161477)_8,2020-07-17,8.0,Arusha
NM201902_(136350C2/161541)_5,2020-07-17,9.0,Arusha
NM201901_(153009C1/161584)_1,2020-07-20,9.0,Arusha
NM201901_(136339C2/136706)_1,2020-07-20,9.0,Arusha
NM201812_(136304C2/136510)_2,2020-07-20,10.0,Arusha
NM201902_(152842C1/161541)_9,2020-07-20,7.0,Arusha
NM201901_(136339C2/136706)_1,2020-07-20,7.0,Arusha
NM201904_(136408C3/161582)_3,2020-07-20,10.0,Arusha
NM201902_(152842C1/161541)_12,2020-07-21,1.0,Arusha
NM201901_(153120C1/161503)_1,2020-07-16,20.0,Arusha
NM201902_(152457C1/161477)_7,2020-07-17,8.0,Arusha
NM201902_(152457C1/161477)_7,2020-07-17,6.0,Arusha
NM201812_(136304C2/136510)_5,2020-07-20,9.0,Arusha
NM201904_(152644C1/161582)_7,2020-07-23,10.0,Arusha
NM201904_(152644C1/161582)_7,2020-07-23,12.0,Arusha
NM201812_(136304C2/136510)_2,2020-07-20,13.0,Arusha
NM201806_450_2,2021-02-05,1.0,Arusha
NM201810_(136507C2/161548)_8,2021-02-05,1.0,Arusha
NM201810_(136507C2/161548)_16,2021-02-05,1.0,Arusha
NM201810_(136507C2/161548)_22,2021-02-05,1.0,Arusha
NM201810_(136507C2/161548)_28,2021-02-05,1.0,Arusha
NM201810_(136507C2/161548)_31,2021-02-05,1.0,Arusha
NM201809_552_4,2021-02-05,1.0,Arusha
NM201810_(136564C2/136460)_3,2021-02-05,1.0,Arusha
NM201810_(136507C2/161548)_12,2021-02-05,1.0,Arusha
NM201809_538_50,2021-02-05,1.0,Arusha
NM201810_(136507C2/161548)_1,2021-02-05,1.0,Arusha
NM201810_(136376C2/136460)_11,2021-02-12,1.0,Arusha
NM201809_538_46,2021-02-12,1.0,Arusha
NM201807_498_4,2021-02-12,1.0,Arusha
NM201904_(152779C1/161582)_29,2021-02-17,12.0,Arusha
NM201810_(136564C2/136460)_8,2021-02-02,2.0,Arusha
NM201810_(136679C2/136653)_4,2021-02-02,5.0,Arusha
NM201807_495_3,2021-02-02,2.0,Arusha
NM201805_411_1,2021-02-05,4.0,Arusha
NM201807_503_1,2021-02-05,2.0,Arusha
NM201810_(136376C2/136460)_4,2021-02-05,3.0,Arusha
NM201810_(136564C2/136460)_8,2021-02-05,1.0,Arusha
NM201810_(136376C2/136460)_3,2021-02-05,5.0,Arusha
NM201810_(136507C2/161548)_56,2021-02-05,3.0,Arusha
NM201810_(136507C2/161548)_46,2021-02-05,10.0,Arusha
NM201809_538_47,2021-02-05,14.0,Arusha
NM201810_(136376C2/136460)_5,2021-02-05,5.0,Arusha
NM201808_530_6,2021-02-05,2.0,Arusha
NM201810_(136507C2/161548)_40,2021-02-05,7.0,Arusha
NM201810_(136507C2/161548)_55,2021-02-05,4.0,Arusha
NM201807_503_1,2021-03-12,2.0,Arusha
NM201810_(136376C2/136460)_12,2021-02-19,15.0,Arusha
NM201810_(136507C2/161548)_23,2021-02-05,3.0,Arusha
NM201810_(136564C2/136460)_8,2021-02-17,18.0,Arusha
NM201810_(136376C2/136460)_7,2021-03-25,3.0,Arusha
NM201809_538_64,2021-02-05,14.0,Arusha
NM201809_538_57,2021-02-05,6.0,Arusha
NM201810_(136507C2/161548)_29,2021-02-05,9.0,Arusha
NM201810_(136564C2/136460)_6,2021-02-05,6.0,Arusha
